id|fuente|fecha_creacion|id_autor|sensible|idioma|cant_retweets|cant_respuestas|cant_likes
1466890854048702466|Twitter for iPhone|2021-12-03 22:03:27+00:00|2575649023|False|es|0|1|1
1466890852538757121|Twitter for iPhone|2021-12-03 22:03:27+00:00|1085546010854768640|True|es|0|0|2
1466890834893316104|Twitter for Android|2021-12-03 22:03:23+00:00|251480768|False|es|59|0|0
1466890832213168129|Twitter for iPhone|2021-12-03 22:03:22+00:00|2161635192|False|es|0|0|2
1466890831106048000|Twitter for Android|2021-12-03 22:03:22+00:00|910535433234219008|False|es|120|0|0
1466890826592698369|Twitter for Android|2021-12-03 22:03:21+00:00|1027185278|False|es|104|0|0
1466890823572754434|Twitter for Android|2021-12-03 22:03:20+00:00|3359877615|False|es|20|0|0
1466890817411371014|Twitter for iPad|2021-12-03 22:03:19+00:00|4510330995|False|es|1|3|19
1466890814139731968|Twitter for Android|2021-12-03 22:03:18+00:00|778059248957657088|False|es|6|0|0
1466890814123126784|Twitter for Android|2021-12-03 22:03:18+00:00|1315531300128854017|False|tr|13|0|0
1466890814035042322|Twitter for Android|2021-12-03 22:03:18+00:00|4772033664|False|es|950|0|0
1466890811895918592|Twitter for Android|2021-12-03 22:03:17+00:00|809396401|False|es|825|0|0
1466890811786858502|Twitter Web App|2021-12-03 22:03:17+00:00|148896069|False|es|0|0|0
1466890791746428936|Twitter for Android|2021-12-03 22:03:12+00:00|1499180191|False|es|155|0|0
1466890781004898314|Twitter for Android|2021-12-03 22:03:10+00:00|500270109|False|es|108|0|0
1466890778555342850|Twitter for iPhone|2021-12-03 22:03:09+00:00|1250090137092055040|False|es|0|1|1
1466890777267736582|Twitter for Android|2021-12-03 22:03:09+00:00|1297227612373364737|False|es|0|0|1
1466890776923754505|Twitter for Android|2021-12-03 22:03:09+00:00|261401553|False|es|0|0|0
1466890776642826248|Twitter Web App|2021-12-03 22:03:09+00:00|162735359|False|es|0|1|0
1466890772700184580|Twitter Web App|2021-12-03 22:03:08+00:00|2910013193|False|es|121|0|0
1466890771148296192|Twitter for Android|2021-12-03 22:03:08+00:00|1154568235842494464|False|es|702|0|0
1466890766027005952|Twitter for iPhone|2021-12-03 22:03:06+00:00|1087484975283359744|True|es|27|0|0
1466890764554620931|Twitter for Android|2021-12-03 22:03:06+00:00|291363168|False|es|0|0|0
1466890764546293764|Twitter for Android|2021-12-03 22:03:06+00:00|182068986|True|es|41|0|0
1466890763032219662|Twitter for Android|2021-12-03 22:03:06+00:00|3371951825|False|es|46|0|0
1466890760213516290|Twitter for Android|2021-12-03 22:03:05+00:00|1402779967247749129|False|es|0|0|0
1466890759559208960|Twitter for Android|2021-12-03 22:03:05+00:00|848154385775570944|False|es|1|0|0
